"Day Number","Day Label","Phase","Week","Is Milestone","Practice Paper #","Practice Paper Title","Practice Paper Duration","Physics Topic","Physics Class Concept","Physics Practice Target","Physics MCQ Count","Physics Subtopics","Chemistry Topic","Chemistry Class Concept","Chemistry Practice Target","Chemistry MCQ Count","Chemistry Subtopics","Biology Topic","Biology NCERT Concept","Biology Practice Target","Biology MCQ Count","Biology Subtopics","Total MCQs Target","PYQs Target","MCQ Breakdown","Revision Primary Task","Error Book Focus","NCERT Revision","Test Session"
"25","DAY 25","1","4","NO","","","","Work, Energy & Power: Power (Instantaneous & Average)","Power P = dW/dt = F·v, average power P_avg = W/t, efficiency of machines, pump lifting water from well (P = mgh/t + ½mv²/t)","35 numericals on motor power, velocity-dependent resistance, car accelerating","35","Work, Energy & Power: Power (Instantaneous & Average)","Chemical Bonding: Molecular Orbital Theory (MOT) Fundamentals","LCAO method, bonding (σ, π) vs antibonding (σ*, π*) MOs, electronic configuration of homonuclear diatomic molecules up to 20 electrons (Z ≤ 7 vs Z > 7)","35 problems on writing MO configurations and calculating bond order (BO = ½(Nb - Na))","35","Chemical Bonding: Molecular Orbital Theory (MOT) Fundamentals","Morphology of Flowering Plants: The Root System","Tap root, fibrous root, adventitious root; regions of root (root cap, meristematic, elongation, maturation with root hairs); modifications for support (prop, stilt) and respiration (pneumatophores in Rhizophora)","45 NCERT line-by-line MCQs on root modifications","45","Morphology of Flowering Plants: The Root System","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Pump power calculation with kinetic energy of expelled water","MOT energy level order inversion for N2 vs O2 in Error Book","Root regions and Rhizophora pneumatophore diagrams",""
"26","DAY 26","1","4","NO","","","","Collisions in 1D: Elastic & Inelastic Collisions","Conservation of linear momentum, coefficient of restitution e = (v2 - v1)/(u1 - u2), perfectly elastic collision (e=1), completely inelastic collision (e=0), energy loss formula","35 numericals on velocity after collision and kinetic energy loss","35","Collisions in 1D: Elastic & Inelastic Collisions","Chemical Bonding: MOT Bond Order, Magnetic Nature & Bond Strength","Bond order relationship with bond length and bond dissociation energy; paramagnetism (unpaired electrons in B2, O2, O2⁻, O2⁺) vs diamagnetism (C2, N2)","35 problems on comparing bond orders and magnetic species (O2, O2⁺, O2⁻, O2²⁻)","35","Chemical Bonding: MOT Bond Order, Magnetic Nature & Bond Strength","Morphology of Flowering Plants: The Stem & Its Modifications","Nodes, internodes, buds; modifications for food storage (potato, ginger, turmeric, zaminkand), tendrils (gourds), thorns (Citrus, Bougainvillea), phylloclade (Opuntia, Euphorbia), runners, stolons, offsets (Pistia, Eichhornia), suckers","45 NCERT line-by-line MCQs on stem modifications","45","Morphology of Flowering Plants: The Stem & Its Modifications","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Elastic collision head-on velocity exchange when masses are equal","Superoxide (O2⁻) vs peroxide (O2²⁻) bond order and magnetism in Error Book","Stem modifications examples memorization table",""
"27","DAY 27","1","4","NO","","","","Collisions in 2D (Oblique Collisions) & Center of Mass Basics","Oblique collision momentum conservation along normal and tangential directions; Center of mass of two-particle system (r_cm = (m1 r1 + m2 r2)/(m1 + m2))","35 numericals on COM coordinates and 2D glancing collisions","35","Collisions in 2D (Oblique Collisions) & Center of Mass Basics","Chemical Bonding: Dipole Moment & Hydrogen Bonding","Dipole moment μ = q × d, polar vs non-polar molecules (BF3, NH3 vs NF3 dipole comparison), intermolecular vs intramolecular H-bonding (o-nitrophenol vs p-nitrophenol BP)","35 problems on dipole moments and hydrogen bonding strength","35","Chemical Bonding: Dipole Moment & Hydrogen Bonding","Morphology of Flowering Plants: The Leaf & Venation, Phyllotaxy","Parts of leaf (leaf base, petiole, lamina), venation (reticulate vs parallel), simple vs compound leaves (pinnate, palmate); phyllotaxy (alternate, opposite, whorled); leaf modifications (spines, tendrils, phyllode in Australian acacia)","45 NCERT line-by-line MCQs on leaf modifications and phyllotaxy","45","Morphology of Flowering Plants: The Leaf & Venation, Phyllotaxy","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Why NF3 has lower dipole moment than NH3 orbital explanation","Intramolecular vs intermolecular H-bonding boiling point effect in Error Book","Leaf venation, phyllotaxy, and modification diagrams",""
"28","DAY 28","1","4","YES","","","","Work Power Energy & Collisions: Full Chapter Review & 10-Year PYQs","Review all work-energy concepts, vertical circle formulas, collision velocity formulas with NEET PYQs","40 timed NEET PYQs under 45 minutes","40","Work Power Energy & Collisions: Full Chapter Review & 10-Year PYQs","Chemical Bonding: Full Chapter Review & High-Yield PYQs","Comprehensive review of VSEPR, Hybridization, MOT, Dipole moment with 10-year NEET PYQs","40 timed chemical bonding PYQs under 45 minutes","40","Chemical Bonding: Full Chapter Review & High-Yield PYQs","Morphology of Flowering Plants: Inflorescence & Flower Structure","Racemose vs cymose inflorescence; flower parts (calyx, corolla, androecium, gynoecium); symmetry (actinomorphic, zygomorphic, asymmetric); position of ovary (hypogynous, perigynous, epigynous)","50 NCERT line-by-line MCQs on flower symmetry and ovary positions","50","Morphology of Flowering Plants: Inflorescence & Flower Structure","130","39","P: 40 | C: 40 | B: 50 (incl. ~39 PYQs)","Week 4 Cumulative Revision: 720-minute rapid review across all Week 4 topics","Audit Week 4 Error Book: re-solve every missed problem from Days 22 to 27","Flower ovary position examples (Mustard, China rose, Plum, Rose, Peach, Guava, Cucumber) list","MILESTONE TEST 4: Class 11 Week 4 Review (Work Energy Power, Chemical Bonding, Plant Morphology I)"
"29","DAY 29","1","5","NO","","","","Center of Mass of Continuous Bodies & Truncated Objects","COM of uniform rod, semicircular ring (2R/π), semicircular disc (4R/3π), hemispherical shell (R/2), solid hemisphere (3R/8); COM of body with cavity (subtraction method)","35 numericals on COM of remaining portion after circular disc cutting","35","Center of Mass of Continuous Bodies & Truncated Objects","Chemical Thermodynamics: System, Surroundings & 1st Law (ΔU = q + w)","Open, closed, isolated systems; state functions vs path functions; intensive vs extensive properties; sign conventions for heat (q) and work (w = -P_ext ΔV)","35 numericals on work done in isothermal reversible vs irreversible expansion","35","Chemical Thermodynamics: System, Surroundings & 1st Law (ΔU = q + w)","Morphology of Flowering Plants: Aestivation, Placentation & Fruit","Aestivation (valvate, twisted, imbricate, vexillary); placentation (marginal, axile, parietal, free central, basal); fruit (drupe in mango and coconut with pericarp layers), seed structure (dicot vs monocot seed)","50 NCERT line-by-line MCQs on aestivation and placentation examples","50","Morphology of Flowering Plants: Aestivation, Placentation & Fruit","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Cavity method formula X_cm = (A1 x1 - A2 x2)/(A1 - A2)","Isothermal work done w = -2.303 nRT log(V2/V1) signs in Error Book","Placentation types NCERT diagrams and examples",""
"30","DAY 30","1","5","NO","","","","Rotational Motion: Moment of Inertia (MOI) & Theorems","Rotational kinetic energy K = ½Iω², MOI formula I = ∑mi ri²; Theorem of Parallel Axes (I = I_cm + Md²) and Theorem of Perpendicular Axes (Iz = Ix + Iy for planar laminas)","35 numericals on MOI of ring, disc, rod, cylinder, sphere about various axes","35","Rotational Motion: Moment of Inertia (MOI) & Theorems","Chemical Thermodynamics: Enthalpy (ΔH = ΔU + Δn_g RT) & Heat Capacities","Enthalpy change, relationship between ΔH and ΔU for gaseous reactions, heat capacity at constant volume (Cv) and constant pressure (Cp), Mayer relation (Cp - Cv = R)","35 numericals on ΔH vs ΔU calculations and heat capacities","35","Chemical Thermodynamics: Enthalpy (ΔH = ΔU + Δn_g RT) & Heat Capacities","Morphology of Flowering Plants: Plant Families (Fabaceae, Solanaceae, Liliaceae)","Floral characters, floral formula, floral diagram, economic importance, medicinal and ornamental plants of Fabaceae, Solanaceae, and Liliaceae (plus Malvaceae/Cruciferae updates)","50 NCERT line-by-line MCQs on floral formulas and family examples","50","Morphology of Flowering Plants: Plant Families (Fabaceae, Solanaceae, Liliaceae)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Radius of gyration k definition (I = Mk²) and MOI table check","Δn_g calculation (gaseous products moles - gaseous reactants moles) in Error Book","Verbatim floral formulas of Fabaceae, Solanaceae, Liliaceae",""
"31","DAY 31","1","5","NO","","","","Rotational Motion: Torque (τ = r × F = Iα) & Rotational Equilibrium","Torque definition, couple, rotational equilibrium conditions (∑F = 0 and ∑τ = 0), ladder friction problems, see-saw balance","35 numericals on finding reaction forces on hinged rods and leaning ladders","35","Rotational Motion: Torque (τ = r × F = Iα) & Rotational Equilibrium","Chemical Thermodynamics: Thermochemistry & Hess Law of Constant Heat Summation","Enthalpy of reaction, enthalpy of formation (ΔfH° of standard elements = 0), combustion, neutralization, atomization; Hess law application","35 numericals on calculating enthalpy of reaction using Hess law cycles","35","Chemical Thermodynamics: Thermochemistry & Hess Law of Constant Heat Summation","Anatomy of Flowering Plants: Meristematic & Permanent Tissues","Apical, intercalary, lateral meristems (fascicular vascular cambium, cork cambium); simple tissues (parenchyma, collenchyma, sclerenchyma); complex tissues (xylem tracheids/vessels, phloem sieve tubes/companion cells)","45 NCERT line-by-line MCQs on collenchyma angular thickening and xylem elements","45","Anatomy of Flowering Plants: Meristematic & Permanent Tissues","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Torque equilibrium pivot point selection rules","Hess law subtraction vs addition enthalpy sign tracking in Error Book","Simple tissues cell wall composition (pectin, cellulose, lignin) flashcards",""
"32","DAY 32","1","5","NO","","","","Rotational Motion: Angular Momentum (L = r × p = Iω) & Its Conservation","Angular momentum of particle and rigid body, relation between torque and angular momentum (τ = dL/dt), conservation of angular momentum when net external torque = 0","35 numericals on diver curling body, spinning turntable, person with dumbbells","35","Rotational Motion: Angular Momentum (L = r × p = Iω) & Its Conservation","Chemical Thermodynamics: Entropy (ΔS) & 2nd Law of Thermodynamics","Spontaneous vs non-spontaneous processes, entropy as measure of disorder, ΔS_sys = q_rev/T, total entropy change ΔS_total = ΔS_sys + ΔS_surr > 0 for spontaneity","35 numericals on calculating entropy changes during phase transitions and reactions","35","Chemical Thermodynamics: Entropy (ΔS) & 2nd Law of Thermodynamics","Anatomy of Flowering Plants: Tissue Systems (Epidermal, Ground, Vascular)","Epidermal tissue system (cuticle, stomatal apparatus, trichomes, root hairs); ground tissue (cortex, endodermis with Casparian strips, pericycle, pith); vascular bundles (radial, conjoint, open, closed)","45 NCERT line-by-line MCQs on Casparian strips (suberin) and guard cells","45","Anatomy of Flowering Plants: Tissue Systems (Epidermal, Ground, Vascular)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Angular momentum conservation I1 ω1 = I2 ω2 calculation steps","Entropy change in boiling water vs freezing water signs in Error Book","Casparian strip anatomy and radial vascular bundles in roots",""
"33","DAY 33","1","5","NO","","","","Rotational Motion: Pure Rolling Motion (Rolling Without Slipping)","Kinematics of rolling v_cm = Rω, acceleration a_cm = Rα; total kinetic energy K_total = K_trans + K_rot = ½Mv²(1 + k²/R²); rolling on inclined plane (a = g sinθ / (1 + k²/R²))","35 numericals on comparing acceleration and time of rolling of ring, disc, sphere on incline","35","Rotational Motion: Pure Rolling Motion (Rolling Without Slipping)","Chemical Thermodynamics: Gibbs Free Energy (ΔG = ΔH - TΔS) & Spontaneity","Criteria for spontaneity: ΔG < 0 (spontaneous), ΔG = 0 (equilibrium), ΔG > 0 (non-spontaneous); temperature dependence of spontaneity (signs of ΔH and ΔS table); relationship ΔG° = -2.303 RT log K","35 numericals on predicting spontaneity temperature and equilibrium constant K","35","Chemical Thermodynamics: Gibbs Free Energy (ΔG = ΔH - TΔS) & Spontaneity","Anatomy of Flowering Plants: Anatomy of Dicot & Monocot Root, Stem & Leaf","Dicot root (diarch to hexarch xylem) vs monocot root (polyarch xylem); dicot stem (ring vascular bundles) vs monocot stem (scattered vascular bundles); dorsiventral dicot leaf vs isobilateral monocot leaf (bulliform cells)","50 NCERT line-by-line MCQs on root/stem/leaf cross sections","50","Anatomy of Flowering Plants: Anatomy of Dicot & Monocot Root, Stem & Leaf","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Rolling on inclined plane order of arrival (solid sphere > disc > solid cylinder > hollow sphere > ring)","Gibbs Helmholtz equation spontaneity temperature cutoff in Error Book","Dicot vs monocot root/stem/leaf anatomical comparison table",""
"34","DAY 34","1","5","NO","","","","Rotational Motion: Full Chapter Comprehensive Review & NEET PYQs","Review MOI formulas, parallel/perpendicular axis theorems, torque, angular momentum conservation, rolling dynamics with 10-year NEET PYQs","40 timed rotational motion PYQs under 45 minutes","40","Rotational Motion: Full Chapter Comprehensive Review & NEET PYQs","Chemical Thermodynamics: Full Chapter Comprehensive Review & NEET PYQs","Review 1st law, enthalpy, Hess law, bond enthalpies, entropy, Gibbs energy, spontaneity with 10-year NEET PYQs","40 timed thermodynamics PYQs under 45 minutes","40","Chemical Thermodynamics: Full Chapter Comprehensive Review & NEET PYQs","Anatomy of Flowering Plants: Secondary Growth & Full Chapter Review","Vascular cambium activity, spring wood vs autumn wood, annual rings, heartwood vs sapwood, cork cambium (phellogen, phellem, phelloderm); lenticels, bark","50 NCERT line-by-line MCQs on secondary growth and annual rings","50","Anatomy of Flowering Plants: Secondary Growth & Full Chapter Review","130","39","P: 40 | C: 40 | B: 50 (incl. ~39 PYQs)","Rotational dynamics combined formula sheet review","Heartwood vs sapwood characteristics (durability, conduction) in Error Book","Anatomy NCERT diagrams of dicot stem secondary growth",""
